person1	is	person2
http://dbpedia.org/resource/Adam_Oehlenschläger	http://www.w3.org/2002/07/owl#sameAs	http://dbpedia.org/resource/Adam_Oehlenschläger
http://dbpedia.org/resource/Adam_Wiśniewski-Snerg	http://www.w3.org/2002/07/owl#sameAs	http://dbpedia.org/resource/Adam_Wiśniewski-Snerg
http://dbpedia.org/resource/Abbie_Hoffman	http://www.w3.org/2002/07/owl#differentFrom	http://dbpedia.org/resource/Abby_Hoffman
http://dbpedia.org/resource/Abbie_Hoffman	http://www.w3.org/2002/07/owl#differentFrom	http://dbpedia.org/resource/Albert_Hofmann
http://dbpedia.org/resource/Abraham_de_Moivre	http://dbpedia.org/ontology/academicAdvisor	http://dbpedia.org/resource/Jacques_Ozanam
http://dbpedia.org/resource/Abbie_Hoffman	http://dbpedia.org/ontology/influenced	http://dbpedia.org/resource/Bob_Black
http://dbpedia.org/resource/Abbie_Hoffman	http://dbpedia.org/ontology/influencedBy	http://dbpedia.org/resource/Lenny_Bruce
http://dbpedia.org/resource/Adlai_Stevenson_II	http://dbpedia.org/ontology/president	http://dbpedia.org/resource/Lyndon_B._Johnson
http://dbpedia.org/resource/Aaron_Burr	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Eliza_Jumel
http://dbpedia.org/resource/Abbie_Hoffman	http://dbpedia.org/ontology/influenced	http://dbpedia.org/resource/Boots_Riley
http://dbpedia.org/resource/Albus_Dumbledore	http://dbpedia.org/ontology/portrayer	http://dbpedia.org/resource/Michael_Gambon
http://dbpedia.org/resource/Abbie_Hoffman	http://dbpedia.org/ontology/influencedBy	http://dbpedia.org/resource/Régis_Debray
http://dbpedia.org/resource/Adlai_Stevenson_II	http://dbpedia.org/ontology/successor	http://dbpedia.org/resource/William_Stratton
http://dbpedia.org/resource/Abbie_Hoffman	http://dbpedia.org/ontology/influencedBy	http://dbpedia.org/resource/Alfred_Hitchcock
http://dbpedia.org/resource/Abbie_Hoffman	http://dbpedia.org/ontology/influencedBy	http://dbpedia.org/resource/Andy_Warhol
http://dbpedia.org/resource/Abbie_Hoffman	http://dbpedia.org/ontology/influencedBy	http://dbpedia.org/resource/Groucho_Marx
http://dbpedia.org/resource/Abraham_de_Moivre	http://dbpedia.org/ontology/influencedBy	http://dbpedia.org/resource/Isaac_Newton
http://dbpedia.org/resource/Albus_Dumbledore	http://dbpedia.org/ontology/creator	http://dbpedia.org/resource/J._K._Rowling
http://dbpedia.org/resource/Abbie_Hoffman	http://dbpedia.org/ontology/influenced	http://dbpedia.org/resource/Jello_Biafra
http://dbpedia.org/resource/Abbie_Hoffman	http://dbpedia.org/ontology/influencedBy	http://dbpedia.org/resource/John_Lennon
http://dbpedia.org/resource/Abbie_Hoffman	http://dbpedia.org/ontology/influencedBy	http://dbpedia.org/resource/Marshall_McLuhan
http://dbpedia.org/resource/Abbie_Hoffman	http://dbpedia.org/ontology/influenced	http://dbpedia.org/resource/Naomi_Wolf
http://dbpedia.org/resource/Abbie_Hoffman	http://dbpedia.org/ontology/influencedBy	http://dbpedia.org/resource/Che_Guevara
http://dbpedia.org/resource/Abbie_Hoffman	http://dbpedia.org/ontology/influencedBy	http://dbpedia.org/resource/Herbert_Marcuse
http://dbpedia.org/resource/Abbie_Hoffman	http://dbpedia.org/ontology/influencedBy	http://dbpedia.org/resource/John_Sinclair_(poet)
http://dbpedia.org/resource/Aaron_Burr	http://dbpedia.org/ontology/predecessor	http://dbpedia.org/resource/Richard_Varick
http://dbpedia.org/resource/Adi_Shamir	http://dbpedia.org/ontology/doctoralAdvisor	http://dbpedia.org/resource/Zohar_Manna
http://dbpedia.org/resource/Abraham_Robinson	http://dbpedia.org/ontology/influencedBy	http://dbpedia.org/resource/Abraham_Fraenkel
http://dbpedia.org/resource/Adlai_Stevenson_II	http://dbpedia.org/ontology/successor	http://dbpedia.org/resource/Arthur_Goldberg
http://dbpedia.org/resource/Aaron_Burr	http://dbpedia.org/ontology/successor	http://dbpedia.org/resource/Morgan_Lewis_(governor)
http://dbpedia.org/resource/Al_Pacino	http://dbpedia.org/ontology/partner	http://dbpedia.org/resource/Beverly_D'Angelo
http://dbpedia.org/resource/Aaron_Burr	http://dbpedia.org/property/alongside	http://dbpedia.org/resource/Rufus_King
