id,phrase,replacements,labels
e82bae79-8891-4244-9745-bcb07935845c,wrote posts mentioning <mention>,"{""mention"": ""Stacy Vaughn""}",post.mention
e82bae79-8891-4244-9745-bcb07935845c,liked any post <number> times,"{""number"": ""9""}",like.freq
e82bae79-8891-4244-9745-bcb07935845c,clicked on ad with <post-word> in it,"{""post-word"": ""'blackout'""}",ad.text
e82bae79-8891-4244-9745-bcb07935845c,wrote at least one post with mention of <mention>,"{""mention"": ""Stacy Vaughn""}",post.mention;post.freq
e82bae79-8891-4244-9745-bcb07935845c,liked any post <number> or more times,"{""number"": ""9""}",like.postText;like.freq
e82bae79-8891-4244-9745-bcb07935845c,clickd on ad with text <post-word> in it,"{""post-word"": ""'blackout'""}",ad.text
e82bae79-8891-4244-9745-bcb07935845c,wrote a post about <mention>,"{""mention"": ""Stacy Vaughn""}",post.mention
e82bae79-8891-4244-9745-bcb07935845c,at least <number> likes,"{""number"": ""nine""}", like.freq
e82bae79-8891-4244-9745-bcb07935845c,clickd on add that contained <post-word>,"{""post-word"": ""'blackout'""}",ad.text
e82bae79-8891-4244-9745-bcb07935845c,clicked on ad about <post-word>,"{""post-word"": ""blackout""}",ad.text
e82bae79-8891-4244-9745-bcb07935845c,also liked post <number> times,"{""number"": ""9""}",like.freq
e82bae79-8891-4244-9745-bcb07935845c,wrote post with <mention>s mention,"{""mention"": ""Stacy Vaughn'""}",post.mention
e82bae79-8891-4244-9745-bcb07935845c,wrote <mention>s post,"{""mention"": ""Stacy Vaughn'""}",post.mention
e82bae79-8891-4244-9745-bcb07935845c,liked it <number> times,"{""number"": ""9""}",like.freq
e82bae79-8891-4244-9745-bcb07935845c,clicked on ad that contains <post-word>,"{""post-word"": ""'blackout'""}",ad.text
e82bae79-8891-4244-9745-bcb07935845c,rated page at least <number> times,"{""number"": ""4""}",rate.freq
e82bae79-8891-4244-9745-bcb07935845c,answered <poll-answer> in a poll,"{""poll-answer"": ""'Yes'""}",poll.answer
e82bae79-8891-4244-9745-bcb07935845c,downloaded <page-type> type page file,"{""page-type"": ""'exhibitor'""}",file.pageType
e82bae79-8891-4244-9745-bcb07935845c,rated any page <number> times,"{""number"": ""four""}",rate.freq;rate.pageType
e82bae79-8891-4244-9745-bcb07935845c,participated in poll answered <poll-answer> to any question,"{""poll-answer"": ""yes""}",poll.answer
e82bae79-8891-4244-9745-bcb07935845c,downloaded a file from page with <page-type> type,"{""page-type"": ""'exhibitor'""}",file.pageType
e82bae79-8891-4244-9745-bcb07935845c,rated page <number> time,"{""number"": ""4""}",rate.freq
e82bae79-8891-4244-9745-bcb07935845c,answered <poll-answered> in poll,"{""poll-answer"": ""yes""}",poll.answer
e82bae79-8891-4244-9745-bcb07935845c,downloaded a file from <page-type> page,"{""page-type"": ""exhibitor""}",file.pageType
e82bae79-8891-4244-9745-bcb07935845c,rated page <number> or more times,"{""number"": ""4""}",rate.freq
e82bae79-8891-4244-9745-bcb07935845c,in poll answered <poll-answered>,"{""poll-answer"": ""yes""}",poll.answer
e82bae79-8891-4244-9745-bcb07935845c,got file from <page-type> type page,"{""page-type"": ""'exhibitor'""}",file.pageType
e82bae79-8891-4244-9745-bcb07935845c,rated page <number> times,"{""number"": ""4""}",rate.freq
e82bae79-8891-4244-9745-bcb07935845c,participated in poll and answered yes,"{""poll-answer"": ""yes""}",poll.answer
e82bae79-8891-4244-9745-bcb07935845c,downloaded any file from <page-type> page,"{""page-type"": ""exhibitor""}",file.pageType;file.name
e82bae79-8891-4244-9745-bcb07935845c,<post-word> in bio,"{""post-word"": ""'captive'""}",profile.bio
e82bae79-8891-4244-9745-bcb07935845c,n't enjoy event,{},profile.enjoyment
e82bae79-8891-4244-9745-bcb07935845c,downloaed a file from <page-type> page,"{""page-type"": ""exhibitor""}",file.pageType
e82bae79-8891-4244-9745-bcb07935845c,n't enjoy the event,{},profile.enjoyment
e82bae79-8891-4244-9745-bcb07935845c,name <first-name>,"{""first-name"": ""Marjorie""}",profile.firstName
e82bae79-8891-4244-9745-bcb07935845c,replied to <sentiment> post,"{""sentiment"": ""negative""}",reply.postSentiment
e82bae79-8891-4244-9745-bcb07935845c,<first-name>s,"{""first-name"": ""Marjorie""}",profile.firstName
e82bae79-8891-4244-9745-bcb07935845c,downloaded <page-type> file,"{""page-type"": ""exhibitor""}",file.pageType
e82bae79-8891-4244-9745-bcb07935845c,first name <first-name>,"{""first-name"": ""Marjorie""}",profile.firstName
e82bae79-8891-4244-9745-bcb07935845c,replied to post with <sentiment> sentiment,"{""sentiment"": ""negative""}",reply.postSentiment
e82bae79-8891-4244-9745-bcb07935845c,named <first-name>,"{""first-name"": ""Marjorie""}",profile.firstName
e82bae79-8891-4244-9745-bcb07935845c,wrote <sentiment> post,"{""sentiment"": ""positive""}",post.sentiment
e82bae79-8891-4244-9745-bcb07935845c,clicked <company> ad,"{""company"": ""ablitech""}",ad.sponsor
e82bae79-8891-4244-9745-bcb07935845c,participated in poll and answered <poll-answer>,"{""poll-answer"": ""yes""}",poll.answer
e82bae79-8891-4244-9745-bcb07935845c,wrote a post with <sentiment> sentiment,"{""sentiment"": ""positive""}",post.sentiment
e82bae79-8891-4244-9745-bcb07935845c,clicked on ad from <company>,"{""company"": ""'Ablitech Co'""}",ad.sponsor
e82bae79-8891-4244-9745-bcb07935845c,clicked on ad from <company>,"{""company"": ""'Ablitech, Inc.'""}",ad.sponsor
e82bae79-8891-4244-9745-bcb07935845c,never participated in poll,{},poll.freq
e82bae79-8891-4244-9745-bcb07935845c,never answered <poll-answer>,"{""poll-answer"": ""yes""}",poll.answer;poll.freq
e82bae79-8891-4244-9745-bcb07935845c,bio has <post-word> in it,"{""post-word"": ""'captive'""}",profile.bio
e82bae79-8891-4244-9745-bcb07935845c,participated in no poll,{},poll.freq
e82bae79-8891-4244-9745-bcb07935845c,rated <page-type> page,"{""page-type"": ""speaker""}",rate.pageType
e82bae79-8891-4244-9745-bcb07935845c,replied to <sentiment> sentiment post,"{""sentiment"": ""negative""}",reply.postSentiment
e82bae79-8891-4244-9745-bcb07935845c,liked <mention> post,"{""mention"": ""Caleb Ramirez'""}",like.postAuthor
e82bae79-8891-4244-9745-bcb07935845c,wrote at least <number> posts,"{""number"": ""4""}",post.freq
e82bae79-8891-4244-9745-bcb07935845c,any <sentiment> post,"{""sentiment"": ""positive""}",post.sentiment;post.text
e82bae79-8891-4244-9745-bcb07935845c,<post-word> in their bio,"{""post-word"": ""'captive'""}",profile.bio
e82bae79-8891-4244-9745-bcb07935845c,replied to post with <post-word> in it,"{""post-word"": ""'captive'""}",reply.postText
e82bae79-8891-4244-9745-bcb07935845c,phone <phone>,"{""phone"": ""(290) 448-8241""}",profile.phone
e82bae79-8891-4244-9745-bcb07935845c,downloaded <file-name> file,"{""file-name"": ""'workshop.doc'""}",file.name
e82bae79-8891-4244-9745-bcb07935845c,downloaded <file-name> document,"{""file-name"": ""workshop""}",file.name
e82bae79-8891-4244-9745-bcb07935845c,viewed page  <number> times,"{""number"": ""5""}",view.freq
e82bae79-8891-4244-9745-bcb07935845c,never participated in polls,{},poll.freq
e82bae79-8891-4244-9745-bcb07935845c,liked post by <mention>,"{""mention"": ""Caleb Ramirez""}",like.postAuthor
0bb4c343-8c07-42aa-bb34-fcd9a1989d41,<last-name> as a last name,"{""last-name"": ""White""}",profile.lastName
0bb4c343-8c07-42aa-bb34-fcd9a1989d41,liked posts by <mention>,"{""mention"": ""Shawna Potter""}",like.postAuthor
0bb4c343-8c07-42aa-bb34-fcd9a1989d41,downloaded a file from page with <page-type> type,"{""page-type"": ""'sponsor'""}",file.pageType
0bb4c343-8c07-42aa-bb34-fcd9a1989d41,last name <last-name>,"{""last-name"": ""White""}",profile.lastName
0bb4c343-8c07-42aa-bb34-fcd9a1989d41,liked at least <number> post by <mention>,"{""mention"": ""Shawna Potter"",""number"":""one""}",like.freq;like.postAuthor
0bb4c343-8c07-42aa-bb34-fcd9a1989d41,downloaded file from <page-type> type page,"{""page-type"": ""'sponsor'""}",file.pageType
1c17a974-92f1-44a5-9e05-ce75db85d775,rated page containing <post-word>,"{""post-word"": ""'abomination'""}",rate.pageText
1c17a974-92f1-44a5-9e05-ce75db85d775,phone <phone>,"{""phone"": ""(331) 408-2679""}",profile.phone
1c17a974-92f1-44a5-9e05-ce75db85d775,not <enjoyment> the event,"{""enjoyment"": ""enjoyed""}",profile.enjoyment
1c17a974-92f1-44a5-9e05-ce75db85d775,rated page with <post-word> in text,"{""post-word"": ""'abomination'""}",rate.pageText
1c17a974-92f1-44a5-9e05-ce75db85d775,n't impressed by the event,{},profile.enjoyment
1c17a974-92f1-44a5-9e05-ce75db85d775,clicked on any ad <number> times,"{""number"": ""6""}",ad.text;ad.freq
1c17a974-92f1-44a5-9e05-ce75db85d775,liked post written by <mention>,"{""mention"": ""Dolores Cummings""}",like.postAuthor
1c17a974-92f1-44a5-9e05-ce75db85d775,rated page with word <post-word> in text,"{""post-word"": ""'abomination'""}",rate.pageText
1c17a974-92f1-44a5-9e05-ce75db85d775,liked <mention> post,"{""mention"": ""Dolores Cummings'""}",like.postAuthor
1c17a974-92f1-44a5-9e05-ce75db85d775,replied to <mention>s post,"{""mention"": ""Hoe Griffith'""}",reply.postAuthor
1c17a974-92f1-44a5-9e05-ce75db85d775,liked post containing word <post-word>,"{""post-word"": ""'coastal'""}",like.postText
1c17a974-92f1-44a5-9e05-ce75db85d775,left a note on page <number> times,"{""number"": ""9""}",note.freq
1c17a974-92f1-44a5-9e05-ce75db85d775,replied to post written by Hoe <mention>s,"{""mention"": ""Hoe Griffith'""}",reply.postAuthor
1c17a974-92f1-44a5-9e05-ce75db85d775,liked post with word <post-word>,"{""post-word"": ""'coastal'""}",like.postText
1c17a974-92f1-44a5-9e05-ce75db85d775,<number> times left a note on a page,"{""number"": ""9""}",note.freq
