stars,advantage,drawback,text
5,,,"Добрий день, хочу залишити своє перше враження.Телефон прийшов на зміну моєму надійному партнеру А3 2015 року.А3 у мене пропрацював два з лишком роки інколи у дуже суворих кліматичних і інтенсивних умовах використання. 1 рік він заміняв мені поштовий клієнт ПК і мобільний модем, маленький телевізор і плеєр інколи флешку, увесь цей час без конфузів, хіба що на другому році почав інколи перезавантажуватись..я почистив трохи системні папки і все стало ок.Враховуючи це, а також появу андроід пей, LTE дуже скоро і мою любов до музики (до А3 купив найкращу на той час MDR-EX750) я вирішив брати Samsung знову.Батарейка.По перше, маю досвід з андроідами, я чітко розумів що телефон повинен бути налаштовано руцями. Якщо його просто дістати, увімкнути то батарейку він їсть аж бігом, як усі його побратими по цеху. Тому поборсавшись трохи у налаштуваннях, виставивши приоритет для кожного додатку окремо, включати виключати GPS, WiFi, Bluetooth батарейка виходить не така і маленька як пишуть тут у коментах. У мене за ніч 4% використав у режимі очікування з увімкнутим WiFi.По дорозі на роботу слухаю музику, близко години через стрімінг 3G 24 біта + соціальни мережі -10% з появою LTE має бути ще менше.Дуже крута фішка для економії батарейки Alwaysondisplay, спочатку я думав, що це маркетинг адже є індикатор вхідних.Але, я знайшов цікаву фішку у налаштуваннях, по перше виставив графік роботи для нього з 9 00 по 21 00, інший час він автоматично вимкнутий.По друге виставив щоб у темному місці, або до низу лицем телефон виключав дисплей.Виходить що я бачу годинник і вхідні тількі ""з по"" і тількі якщо дістав телефон з кишені або поклав до гори лицем. А тепер думаю скількі разів на день я вмикав телефон щоб подивитись час, вхідні чи переключити станцію-трек. А з цього режиму можна керувати музикою і навіть читати повідомлення, все у налаштуваннях.Програми.Тут хочу подякувати Samsung за те що робить якісну адаптацію системи для України, мова для мене це дуже важливо і навіть чутливо.Ви навіть не уявляєте як я присів на стілець, коли підключав служби після переносу даних (до речі перенос реалізовано зручно).Виявилось що корейці проплатили мені три місяця гугл плей, такий от сюрприз.Є екслюзивні додатки для цих телефонів, наприклад шазам без реклами, фірмова утіліта для чистки кешу зашита в оболонку, оптікал рідер (для мене це взагалі знахідка). Мені дуже сподовалась Біксбі. Це такий тамагочі всереді телефону, якого потрібно навчати спілкуючись з нею англійською (привіт моя граматика і вимова). Вона реагує на голос власника і може по команді робити усе оте що я роблю тикаючи пальцем..навіть меседжі набирає, налаштування перемикає, в пошуку шукає, зображення роспізнає, там капець скількі всього корисного вона вміє.Я не граю на телефоні, бо є PS, але вирішив Hearthstone встановити, корейці і тут побували, дали фірмову рубашку для колоди і безкоштовні набори карт.А ще є додаток, для користувачів Samsung у регіоні, де можна спілкуватись з власниками і де є новини від компанії, промо акції типу квіткив у кіно для власників Samsung і таке інше, так це дрібничка, але це відношення до нас з вами, це показує рівень того як данний бізнес бачить громадян нашої країни. Для деяких виробників, не буду тикати пальцями, ми не є цікаві. І до купи, всі оці іконки, менюшки все це налаштовуються дуже індивідуально. Сумуєте за кнопкою меню її можна добавити. Не подобаються кнопки з низу екрану їх можна сховати і увімкнути коли треба, хочите взагалі щоб меню зникло, а додатки були по свайпу в бік - будь ласка. Там простір для кастомізації такий, аби була фантазія. Залізо.Динамік гучний і якісний. Хочите звук - купіть навушники (рекомендую для меломанів Dunu Titan 3 якщо любите попсу і 5 якщо хочите баси), хочите дискотеку - купіть нормальну систему. В комплекті перехідничкі які легко влазять у гаманець, якщо потрібно зарядити телефон, а вільного тайп сі немає.Все інше тут вже писали, я ж доповнив. Дякую за увагу!Гарного часу доби!"
5,,,Підійде він для лівші?
5,"чудовий дизайн та інтерфейс,хороша камера,компактний розмір при великому екрані,2 sim-карти",оптимізація енергопотребление,"Всім привіт купляв в ""Розетка"" собі телефон Samsung Galaxy S8, телефоном дуже задоволений, огромний екран, хороша камера, та безліч налаштувань які можна підлаштувати під себе, все це на мою думку виглядає на багато крутіше айфона.Та по моему у Samsung з порівнянням Айфона камера крутіша. До мінусів цього телефону я всеж таки хотів би віднести оптимізацию енергопотребление так як на Iphone 7 батерея в 1900 махов тримае заряд так само як у S8 3000. Також радуе 2 sim-карти, компактний розмір при великому екрані та крутой интерфейс и дизайн. І тому я рекомендую всім цей телефон."
5,"Відкрийте характеристики, там прочитаєте переваги.",Не виявлено.,"Що можна сказати: S8,... це S8. Ні капельки НЕ пошкудував що придбав. Це як Мерседес, а решта телефонів... просто- телефони. Не думайте, він вартує щоб його придбати."
5,"чудовий дизайн та інтерфейс,хороша камера,компактний розмір при великому екрані,2 sim-карти",оптимізація енергопотребление,"Всім привіт купляв в ""Розетка"" собі телефон Samsung Galaxy S8, телефоном дуже задоволений, огромний екран, хороша камера, та безліч налаштувань які можна підлаштувати під себе, все це на мою думку виглядає на багато крутіше айфона.Та по моему у Samsung з порівнянням Айфона камера крутіша. До мінусів цього телефону я всеж таки хотів би віднести оптимізацию енергопотребление так як на Iphone 7 батерея в 1900 махов тримае заряд так само як у S8 3000. Також радуе 2 sim-карти, компактний розмір при великому екрані та крутой интерфейс и дизайн а також і безліч акцій у магазині ""Розетка"". І тому я рекомендую всім цей телефон."
5,Екран камера та весь телефон одна перевага над конкурентами,Немає,Купив s8 за тиждень після виходу і користуюсь по цей день. Є плюси і не бачу мінусів. За весь час жодного разу не глючив батарея при мережі 4ж стає до вечора при тому шо тел вічно включений це ютуб фб і тд. Камера мего екран мего. Купався з ним в середземному морі топив його. Працює не лагає. Браво Самсунг... єдине що не вразило це навушники послухав і змінив на блютуз Jbl.
5,,Аккумулятор - єдине слабке місце даного девайсу,"За свої кошти телефон ідеальний. Чудова камера, якісний дисплей, потужна хардова складова і відмінний дизайн, підримка трьох геопозиційних систем. Якщо є можливість та не приваблюють занадто великі розміри на даний момент це кращий вибір"
5,"Камера, Зручний і в руках невідчуваєця бо тонкий і легкий.",Їх немає.,"Телефоном довольний, працює все без проблем.Фото кльове, 3D фонове зображення працює чудово, для цього тре ставити прогу 3D Parralax.Телефон Супер!!!!"
5,"висока роздільна здатність екрана, супер якісні фото, батарея тримає довше ніж Galaxy S7","алюмінієвий корпус легко шкрябається, навіть найменшим порохом під","Не можу зрозуміти, чому телефон не бачить мою блутуз гарнітуру Plantronics Explorer 500 Black (203621-65)"
5,Кращий!,-,"Дякую компанії САМСУНГ, що не зробила дві камери в сматфоні. Продовжуйте й надалі робити такі гаджети!)"
