 person1 	rel 	person2
  Siniša_Žugić 	  sameAs 	  Siniša_Žugić
  Bojan_Pandžić 	  sameAs 	  Bojan_Pandžić
  Frano_Vićan 	  sameAs 	  Frano_Vićan
  Jan_Brumovský 	  sameAs 	  Jan_Brumovský
  Andreas_Ekberg 	  hypernym 	  Referee
  Anatoliy_Abdula 	  hypernym 	  Referee
  Bojan_Pandžić 	  hypernym 	  Referee
  Francesco_Boffo 	  hypernym 	  Architect
  Trampolino_Gigante_Corno_d'Aola 	  country 	  Italy
  Giles_Scott 	  hypernym 	  Sailor
  William_Bagot,_2nd_Baron_Bagot 	  before 	  William_Bagot,_1st_Baron_Bagot
  William_Bagot,_2nd_Baron_Bagot 	  after 	  William_Bagot,_3rd_Baron_Bagot
  Ahmet_Kurt_Pasha 	  after 	  Ibrahim_Pasha_of_Berat
  Anatoliy_Abdula 	  role 	  Referee_(association_football)
  Luís_Tinoco 	  sameAs 	  Luís_Tinoco
  Ruth_Randall_Edström 	  sameAs 	  Ruth_Randall_Edström
  Yémi_Apithy 	  sameAs 	  Yémi_Apithy
  14th_century 	  seeAlso 	  14th_century
  Abbie_Hoffman 	  differentFrom 	  Abby_Hoffman
  Abbie_Hoffman 	  differentFrom 	  Albert_Hofmann
  Francesco_Ferrari_(politician) 	  hypernym 	  Politician
  Piero_Ruzzante 	  hypernym 	  Politician
  Aaron_Burr 	  title 	  Vice_President_of_the_United_States
  2000_AD_(comics) 	  artists 	  Carlos_Ezquerra
  2000_AD_(comics) 	  mainCharTeam 	  Tharg_the_Mighty
  Aaron_Burr 	  spouse 	  Eliza_Jumel
  Aaron_Burr 	  nationality 	  United_States
  2000_AD_(comics) 	  writer 	  Alan_Grant_(writer)
  Mohammed_Al-Hakim 	  otheroccupation 	  Officer_(armed_forces)
  Philip_Skell 	  hypernym 	  Chemist
  2000_AD_(comics) 	  mainCharTeam 	  Judge_Dredd
  2000_AD_(comics) 	  writer 	  Pat_Mills
  2000_AD_(comics) 	  creators 	  Pat_Mills
  Aaron_Burr 	  predecessor 	  Richard_Varick
  Monica_Aksamit 	  headcoach 	  Yury_Gelman
  2000_AD_(comics) 	  artists 	  Dom_Reardon
  2000_AD_(comics) 	  artists 	  Frank_Quitely
  2000_AD_(comics) 	  creators 	  Kelvin_Gosnell
  2000_AD_(comics) 	  artists 	  Massimo_Belardinelli
  Aaron_Burr 	  successor 	  Morgan_Lewis_(governor)
