id,splitted_phrase
e82bae79-8891-4244-9745-bcb07935845c,"[""wrote posts mentioning Stacy Vaughn"", ""liked any post 9 times"", ""clicked on ad with 'blackout' in it""]"
e82bae79-8891-4244-9745-bcb07935845c,"[""wrote at least one post with mention of Stacy Vaughn"", ""liked any post 9 or more times"", ""clickd on ad with text 'blackout' in it""]"
e82bae79-8891-4244-9745-bcb07935845c,"[""wrote a post about Stacy Vaughn"", ""at least nine likes"", ""clickd on add that contained 'blackout'""]"
e82bae79-8891-4244-9745-bcb07935845c,"[""clicked on ad about blackout"", ""also liked post 9 times"", ""wrote post with Stacy Vaughn's mention""]"
e82bae79-8891-4244-9745-bcb07935845c,"[""wrote Stacy Vaughn's post"", ""liked it 9 times"", ""clicked on ad that contains 'blackout'""]"
e82bae79-8891-4244-9745-bcb07935845c,"[""rated page at least 4 times"", ""answered 'Yes' in a poll"", ""downloaded 'exhibitor' type page file""]"
e82bae79-8891-4244-9745-bcb07935845c,"[""rated any page four times"", ""participated in poll and answered yes to any question"", ""downloaded a file from page with 'exhibitor' type""]"
e82bae79-8891-4244-9745-bcb07935845c,"[""rated page 4 time"", ""answered yes in poll"", ""downloaded a file from exhibitor page""]"
e82bae79-8891-4244-9745-bcb07935845c,"[""rated page 4 or more times"", ""in poll answered yes"", ""got file from 'exhibitor' type page""]"
e82bae79-8891-4244-9745-bcb07935845c,"[""rated page four times"", ""participated in poll and answered yes"", ""downloaded any file from exhibitor page""]"
e82bae79-8891-4244-9745-bcb07935845c,"[""'captive' in bio"", ""n't enjoy event"", ""downloaed a file from exhibitor page""]"
e82bae79-8891-4244-9745-bcb07935845c,"[""'captive' in bio"", ""n't enjoy the event"", ""downloaded a file from exhibitor page""]"
e82bae79-8891-4244-9745-bcb07935845c,"[""name Marjorie"", ""replied to negative post"", ""downloaded a file from page with 'exhibitor' type""]"
e82bae79-8891-4244-9745-bcb07935845c,"[""Marjories"", ""replied to negative post"", ""downloaded exhibitor file""]"
e82bae79-8891-4244-9745-bcb07935845c,"[""first name Marjorie"", ""replied to post with negative sentiment"", ""downloaded a file from page with 'exhibitor' type""]"
e82bae79-8891-4244-9745-bcb07935845c,"[""named Marjorie"", ""replied to post with negative sentiment"", ""downloaded a file from page with 'exhibitor' type""]"
e82bae79-8891-4244-9745-bcb07935845c,"[""answered 'Yes' in a poll"", ""wrote positive post"", ""clicked ablitech ad""]"
e82bae79-8891-4244-9745-bcb07935845c,"[""participated in poll and answered yes"", ""wrote a post with positive sentiment"", ""clicked on ad from 'Ablitech Co'""]"
e82bae79-8891-4244-9745-bcb07935845c,"[""participated in poll and answered yes"", ""wrote a post with positive sentiment"", ""clicked on ad from 'Ablitech, Inc.'""]"
e82bae79-8891-4244-9745-bcb07935845c,"[""never participated in poll"", ""never answered yes"", ""bio has 'captive' in it""]"
e82bae79-8891-4244-9745-bcb07935845c,"[""participated in no poll"", ""never answered yes"", ""'captive' in bio""]"
e82bae79-8891-4244-9745-bcb07935845c,"[""rated speaker page"", ""replied to negative sentiment post"", ""liked Caleb Ramirez' post""]"
e82bae79-8891-4244-9745-bcb07935845c,"[""wrote at least 4 posts"", ""any positive post"", ""'captive' in their bio""]"
e82bae79-8891-4244-9745-bcb07935845c,"[""replied to post with 'captive' in it"", ""phone 4478650513"", ""downloaded 'workshop.doc' file""]"
e82bae79-8891-4244-9745-bcb07935845c,"[""replied to post with 'captive' in it"", ""phone 4478650513"", ""downloaded workshop document""]"
e82bae79-8891-4244-9745-bcb07935845c,"[""viewed page  5 times"", ""never participated in polls"", ""liked post by Caleb Ramirez""]"
0bb4c343-8c07-42aa-bb34-fcd9a1989d41,"[""White as a last name"", ""liked posts by Shawna Potter"", ""downloaded a file from page with 'sponsor' type""]"
0bb4c343-8c07-42aa-bb34-fcd9a1989d41,"[""last name White"", ""liked at least one post by Shawna Potter"", ""downloaded file from 'sponsor' type page""]"
